id,IDAutor,IDCancion
1,11,1
2,16,2
3,25,2
4,20,3
5,6,3
6,4,3
7,12,4
8,16,4
9,6,4
10,27,4
11,2,4
12,12,5
13,4,5
14,2,7
15,16,7
16,15,8
17,24,8
18,11,8
19,35,8
20,7,8
21,17,8
22,32,9
23,8,9
24,24,10
25,27,10
26,36,11
27,27,12
28,6,12
29,12,12
30,11,12
31,2,12
32,3,13
33,13,14
34,4,14
35,9,15
36,16,16
37,26,17
38,5,17
39,14,17
40,2,17
41,23,17
42,16,18
43,22,18
44,18,19
45,34,19
46,13,19
47,4,31
48,3,31
49,21,20
50,6,32
51,7,21
52,17,21
53,1,21
54,24,21
55,11,21
56,15,21
57,31,22
58,1,23
59,12,23
62,4,25
63,32,26
65,6,26
66,12,26
67,31,26
68,11,26
69,4,27
70,28,28
71,11,28
72,19,29
73,33,30
74,56,55
75,57,56
76,60,56
77,57,57
78,58,57
79,59,58
80,4,46
81,24,44
82,1,59
83,5,59
84,61,59
85,1,60
86,62,60
87,1,61
88,15,61
89,17,61
90,64,62
91,17,62
92,38,62
94,7,62
95,38,63
96,65,63
97,11,63
98,8,64
99,26,64
100,61,65
101,67,66
102,4,67
103,68,68
104,67,68
105,67,69
106,20,69
107,67,70
108,13,70
109,69,71
110,67,72
111,23,72
112,23,73
113,59,74
114,66,74
115,29,75
116,70,75
117,4,78
118,23,79
119,23,80
120,58,80
121,57,80
122,71,76
123,16,6
124,32,52
125,13,51
126,2,51
127,27,35
128,41,54
129,54,53
130,4,53
131,9,48
132,52,47
133,29,47
134,7,40
135,32,40
136,15,40
137,47,40
138,48,40
139,17,40
140,12,22
141,2,34
142,38,34
143,39,34
144,6,29
145,32,41
146,15,41
147,49,42
148,53,49
149,52,49
150,55,50
151,2,43
153,12,45
154,51,45
155,48,45
156,9,37
157,46,39
158,7,38
159,43,38
160,44,38
161,32,38
162,60,38
163,45,38
164,17,38
165,72,81
166,73,81
167,74,81
168,12,81
169,16,81
170,69,81
171,69,82
172,75,82
173,76,83
174,42,83
175,60,83
176,67,83
177,76,84
178,77,85
179,4,86
180,70,86
181,78,87
182,51,87
183,59,88
184,51,88
185,79,89
186,21,89
187,42,36
188,41,36
189,38,44
190,7,90
191,29,90
192,17,90
