autor_id,Nombre,Foto
1,Anitta,anitta.webp
2,Anuel AA,anuelAA.jpg
3,Aventura,aventura.jpg
4,Bad Bunny,badbunny.jpg
5,Brray,brray.jpg
6,Daddy Yankee,daddyyankee.jpg
7,Dalex,dalex.jpg
8,Darrell,darrell.jpg
9,Don Omar,donomar.webp
10,Dua Lipa,dualipa.jpg
11,Farruko,farruko.jpg
12,J Balvin,jbalvin.jpg
13,Jhayco,jhayco.jpg
14,Juanka,juanka.jpg
15,Justin Quiles,justinquiles.png
16,Karol G,karolg.webp
17,Lenny Tavarez,lennytavarez.jpg
18,Los Legendarios,loslegendarios.jpg
19,Luis Fonsi,luisfonsi.jpg
20,Lunay,lunay.webp
21,Maria Becerra,mariabecerra.jpg
22,Mariah Angeliq,mariahangeliq.jpg
23,Myke Towers,myketowers.webp
24,Natti Natasha,nattinatasha.jpg
25,Nicki Minaj,nickiminaj.jpg
26,Nio Garcia,niogarcia.jpg
27,Ozuna,ozuna.jpg
28,Pedro Capo,pedrocapo.jpg
29,Rauw Alejandro,rauwalejandro.jpg
30,Reik,reik.jpg
31,Rosalia,rosalia.webp
32,Sech,sech.jpg
33,Tito,tito.webp
34,Wisin,wisin.jpg
35,Zion,zion.jpg
36,Yaviah,yaviah.jpg
38,Becky G,beckyg.webp
39,Prince Royce,princeroyce.jpg
40,Omar Courtz,omarcourtz.webp
41,YOVNGCHIMI,YOVNGCHIMI.webp
42,Quevedo,quevedo.jpg
43,Rafa Pabon,rafapabon.jpg
44,KHEA,khea.jpg
45,Cazzu,cazzu.webp
46,Michel Telo,micheltelo.jpg
47,Arcangel,arcangel.jpg
48,De la Ghetto,delaghetto.jpg
49,Kalimba,kalimba.jpg
51,Jowell y Randy,jowellyrandy.jpg
52,Alvaro Diaz,alvarodiaz.webp
53,Tainy,tainy.jpg
54,Young Miko,youngmiko.jpg
55,Ricky Martin,rickymartin.webp
56,Plan B,planb.jpg
57,Ryan Castro,ryancastro.webp
58,Blessd,blessd.jpg
59,Wisin y Yandel,wisinyandel.jpg
60,Feid,feid.jpg
61,Bad Gyal,badgyal.jpg
62,Peso Pluma,pesopluma.webp
63,Tokischa,tokischa.jpeg
64,Juhn,juhn.jpg
65,Zion y Lennox,zionylennox.png
66,Romeo Santos,romeosantos.jpg
67,Mora,mora.jpg
68,Jay Wheeler,jaywheeler.jpg
69,Nicky Jam,nickyjam.jpg
70,Chencho Corleone,chencho.jpg
71,Tego Calderon,tegocalderon.jpg
72,Crissin,crissin.jpg
73,Totoy el frio,totoy-el-frio.jpg
74,Natan & Shader,natanshader.jpg
75,Enrique Iglesias,enriqueiglesias.jpg
76,SAIKO,saiko.jpg
77,Carlitos Rossy,rossy.jpg
78,Maluma,maluma.jpg
79,TINI,tini.jpg
